name,date,value
Von der Heydt,2016-01-04,163
Kirschheck,2016-01-04,170
Saarbrücken-Neuhaus,2016-01-04,94
Riegelsberg,2016-01-04,137
Holz,2016-01-04,112
Göttelborn,2016-01-04,124
Illingen,2016-01-04,194
AS Eppelborn,2016-01-04,158
Hasborn,2016-01-04,153
Kastel,2016-01-04,134
Otzenhausen,2016-01-04,138
Bierfeld,2016-01-04,220
Nonnweiler,2016-01-04,228
Hetzerath,2016-01-04,326
Laufeld,2016-01-04,222
Nettersheim,2016-01-04,220
Euskirchen/Bliesheim,2016-01-04,440
Hürth,2016-01-04,497
Köln-Nord,2016-01-04,1193
Schloss Burg,2016-01-04,1421
Hagen-Vorhalle,2016-01-04,1701
Hengsen,2016-01-04,2114
Unna,2016-01-04,2035
Ascheberg,2016-01-04,797
Ladbergen,2016-01-04,916
Lotte,2016-01-04,1006
HB-Silbersee,2016-01-04,1378
HB-Weserbrücke,2016-01-04,1520
HB-Mahndorfer See,2016-01-04,1434
Groß Ippener,2016-01-04,839
Uphusen,2016-01-04,1450
Bockel,2016-01-04,1062
Dibbersen,2016-01-04,823
Glüsingen,2016-01-04,1222
Barsbüttel,2016-01-04,1278
Bad Schwartau,2016-01-04,669
Oldenburg (Holstein),2016-01-04,126
Neustadt i. H.-Süd,2016-01-04,158
Von der Heydt,2016-01-04T01:00Z,89
Kirschheck,2016-01-04T01:00Z,102
Saarbrücken-Neuhaus,2016-01-04T01:00Z,45
Riegelsberg,2016-01-04T01:00Z,70
Holz,2016-01-04T01:00Z,60
Göttelborn,2016-01-04T01:00Z,64
Illingen,2016-01-04T01:00Z,102
AS Eppelborn,2016-01-04T01:00Z,85
Hasborn,2016-01-04T01:00Z,96
Kastel,2016-01-04T01:00Z,85
Otzenhausen,2016-01-04T01:00Z,89
Bierfeld,2016-01-04T01:00Z,125
Nonnweiler,2016-01-04T01:00Z,129
Hetzerath,2016-01-04T01:00Z,171
Laufeld,2016-01-04T01:00Z,143
Nettersheim,2016-01-04T01:00Z,114
Euskirchen/Bliesheim,2016-01-04T01:00Z,261
Hürth,2016-01-04T01:00Z,278
Köln-Nord,2016-01-04T01:00Z,792
Schloss Burg,2016-01-04T01:00Z,984
Hagen-Vorhalle,2016-01-04T01:00Z,1260
Hengsen,2016-01-04T01:00Z,1532
Unna,2016-01-04T01:00Z,1429
Ascheberg,2016-01-04T01:00Z,495
Ladbergen,2016-01-04T01:00Z,633
Lotte,2016-01-04T01:00Z,694
HB-Silbersee,2016-01-04T01:00Z,788
HB-Weserbrücke,2016-01-04T01:00Z,966
HB-Mahndorfer See,2016-01-04T01:00Z,845
Groß Ippener,2016-01-04T01:00Z,629
Uphusen,2016-01-04T01:00Z,900
Bockel,2016-01-04T01:00Z,624
Dibbersen,2016-01-04T01:00Z,394
Glüsingen,2016-01-04T01:00Z,763
Barsbüttel,2016-01-04T01:00Z,941
Bad Schwartau,2016-01-04T01:00Z,517
Oldenburg (Holstein),2016-01-04T01:00Z,101
Neustadt i. H.-Süd,2016-01-04T01:00Z,125
Von der Heydt,2016-01-04T02:00Z,56
Kirschheck,2016-01-04T02:00Z,47
Saarbrücken-Neuhaus,2016-01-04T02:00Z,31
Riegelsberg,2016-01-04T02:00Z,54
Holz,2016-01-04T02:00Z,41
Göttelborn,2016-01-04T02:00Z,54
Illingen,2016-01-04T02:00Z,98
AS Eppelborn,2016-01-04T02:00Z,84
Hasborn,2016-01-04T02:00Z,75
Kastel,2016-01-04T02:00Z,70
Otzenhausen,2016-01-04T02:00Z,68
Bierfeld,2016-01-04T02:00Z,112
Nonnweiler,2016-01-04T02:00Z,115
Hetzerath,2016-01-04T02:00Z,140
Laufeld,2016-01-04T02:00Z,112
Nettersheim,2016-01-04T02:00Z,122
Euskirchen/Bliesheim,2016-01-04T02:00Z,197
Hürth,2016-01-04T02:00Z,196
Köln-Nord,2016-01-04T02:00Z,490
Schloss Burg,2016-01-04T02:00Z,687
Hagen-Vorhalle,2016-01-04T02:00Z,754
Hengsen,2016-01-04T02:00Z,979
Unna,2016-01-04T02:00Z,942
Ascheberg,2016-01-04T02:00Z,410
Ladbergen,2016-01-04T02:00Z,478
